# widerstand t_0 U_g r_oel err q err
1.959999999999999964e+00 1.778000000000000114e+01 2.690000000000000000e+02 4.816824539145281845e-04 0.000000000000000000e+00 1.152956852617998574e-19 7.711580260133499614e-23
1.919999999999999929e+00 2.926000000000000156e+01 9.600000000000000000e+01 3.678475449376463619e-04 0.000000000000000000e+00 1.438848960246248901e-19 9.623776652138847293e-23
1.870000000000000107e+00 3.503000000000000114e+01 1.100000000000000000e+01 3.336729129425451018e-04 0.000000000000000000e+00 9.372447746178744389e-19 6.268784722034308620e-22
1.810000000000000053e+00 1.575999999999999979e+01 5.800000000000000000e+01 5.167210408983368428e-04 0.000000000000000000e+00 6.601206222820243366e-19 4.415233014607638680e-22
1.780000000000000027e+00 3.400000000000000000e+01 3.500000000000000000e+01 3.404032052101252869e-04 0.000000000000000000e+00 3.127488580248564093e-19 2.091828427444941717e-22
1.709999999999999964e+00 2.319999999999999929e+01 1.470000000000000000e+02 4.209588195673894082e-04 0.000000000000000000e+00 1.408264912466994827e-19 9.419214496500558229e-23
1.750000000000000000e+00 1.541000000000000014e+01 7.700000000000000000e+01 5.241741718003140732e-04 0.000000000000000000e+00 5.190616974487940503e-19 3.471756927198490885e-22
1.750000000000000000e+00 6.830000000000000071e+00 1.870000000000000000e+02 8.065070508253436438e-04 0.000000000000000000e+00 7.785127934930565461e-19 5.207101963035525382e-22
1.750000000000000000e+00 1.140000000000000036e+01 2.000000000000000000e+02 6.155917619779512984e-04 0.000000000000000000e+00 3.236914716764819281e-19 2.165018367934501874e-22
1.750000000000000000e+00 6.610000000000000320e+00 1.120000000000000000e+02 8.204567816255362196e-04 0.000000000000000000e+00 1.368459533280113360e-18 9.152975238988300461e-22
1.739999999999999991e+00 9.929999999999999716e+00 1.180000000000000000e+02 6.625650937409084239e-04 0.000000000000000000e+00 6.840478834239847487e-19 4.575271089130914745e-22
1.739999999999999991e+00 1.800000000000000000e+01 5.300000000000000000e+01 4.823795029668840272e-04 0.000000000000000000e+00 5.877241306825446337e-19 3.931007300302921301e-22
1.729999999999999982e+00 1.926000000000000156e+01 6.100000000000000000e+01 4.652725966323208325e-04 0.000000000000000000e+00 4.582214793876330776e-19 3.064825632625480543e-22
1.729999999999999982e+00 1.377999999999999936e+01 4.100000000000000000e+01 5.569103830751631493e-04 0.000000000000000000e+00 1.169108836358596023e-18 7.819613200562413846e-22
1.729999999999999982e+00 9.400000000000000355e+00 1.340000000000000000e+02 6.823135337587424298e-04 0.000000000000000000e+00 6.578547477412115071e-19 4.400077657023185631e-22
1.719999999999999973e+00 2.030000000000000071e+01 9.200000000000000000e+01 4.524083899659463713e-04 0.000000000000000000e+00 2.793103175386288507e-19 1.868173927143616411e-22
1.729999999999999982e+00 1.156000000000000050e+01 1.220000000000000000e+02 6.115224459785363045e-04 0.000000000000000000e+00 5.201878827683174713e-19 3.479289445401205316e-22
1.719999999999999973e+00 6.839999999999999858e+00 1.130000000000000000e+02 8.068090054729452508e-04 0.000000000000000000e+00 1.289782923278484371e-18 8.626744798321666838e-22
1.719999999999999973e+00 1.358000000000000007e+01 5.000000000000000000e+01 5.614926345554369742e-04 0.000000000000000000e+00 9.825282396252480893e-19 6.571664291263954786e-22
1.719999999999999973e+00 1.549000000000000021e+01 4.000000000000000000e+01 5.233318879381754956e-04 0.000000000000000000e+00 9.943847563914930071e-19 6.650966895208676570e-22
1.709999999999999964e+00 8.490000000000000213e+00 7.600000000000000000e+01 7.205087648259785038e-04 0.000000000000000000e+00 1.365799870905985764e-18 9.135186021797411805e-22
1.709999999999999964e+00 9.550000000000000711e+00 7.600000000000000000e+01 6.771550522795817366e-04 0.000000000000000000e+00 1.133792635718604049e-18 7.583399924150661060e-22
1.709999999999999964e+00 8.130000000000000782e+00 1.750000000000000000e+02 7.371302781191569481e-04 0.000000000000000000e+00 6.351518356896329154e-19 4.248228671497873195e-22
1.709999999999999964e+00 1.555000000000000071e+01 1.400000000000000000e+02 5.224539108977260425e-04 0.000000000000000000e+00 2.826824017786198852e-19 1.890728195502900673e-22
1.709999999999999964e+00 9.029999999999999361e+00 1.920000000000000000e+02 6.974675583697296935e-04 0.000000000000000000e+00 4.904036136390070204e-19 3.280076628929752502e-22
1.699999999999999956e+00 1.213000000000000078e+01 1.400000000000000000e+02 5.967751871760341303e-04 0.000000000000000000e+00 4.212957636692059077e-19 2.817847075033377441e-22
1.699999999999999956e+00 1.617999999999999972e+01 1.130000000000000000e+02 5.116439866809658742e-04 0.000000000000000000e+00 3.289334454111241236e-19 2.200079438159649750e-22
1.709999999999999964e+00 1.266999999999999993e+01 1.180000000000000000e+02 5.828722758257411660e-04 0.000000000000000000e+00 4.657158765778743505e-19 3.114952092520864646e-22
1.699999999999999956e+00 6.950000000000000178e+00 1.550000000000000000e+02 8.007087391127766431e-04 0.000000000000000000e+00 9.191255993406025005e-19 6.147594172638784781e-22
1.699999999999999956e+00 1.494999999999999929e+01 9.000000000000000000e+01 5.337944176555316656e-04 0.000000000000000000e+00 4.689887535934278928e-19 3.136842810919976740e-22
