#Z�hlrohrwinkel	Rate bei 35kV
#2*theta/�	R(35kV)/Imp/s

8.0	45.0
8.4	38.0
8.8	31.0
9.2	31.0
9.6	33.0
10.0	34.0
10.4	50.0
10.8	64.0
11.2	73.0
11.6	85.0
12.0	105.0
12.4	114.0
12.8	110.0
13.2	123.0
13.6	121.0
14.0	136.0
14.4	149.0
14.8	154.0
15.2	163.0
15.6	172.0
16.0	181.0
16.4	187.0
16.7	204.0
17.2	200.0
17.6	188.0
18.0	197.0
18.4	202.0
18.8	215.0
19.2	216.0
19.6	227.0
20.0	236.0
20.4	235.0
20.8	235.0
21.2	227.0
21.6	245.0
22.0	254.0
22.4	247.0
22.8	253.0
23.2	240.0
23.6	232.0
24.0	233.0
24.4	239.0
24.8	241.0
25.2	239.0
25.6	234.0
26.0	250.0
26.4	224.0
26.8	213.0
27.2	207.0
27.6	197.0
28.0	176.0
28.4	181.0
28.8	197.0
29.2	182.0
29.6	177.0
30.0	176.0
30.4	174.0
30.8	180.0
31.2	176.0
31.6	181.0
32.0	173.0
32.4	159.0
32.8	169.0
33.2	158.0
33.6	167.0
34.0	160.0
34.4	153.0
34.8	153.0
35.2	147.0
35.5	153.0
36.0	155.0
36.4	152.0
36.8	130.0
37.2	134.0
37.5	137.0
38.0	123.0
38.4	124.0
38.8	119.0
39.2	126.0
39.5	136.0
40.0	255.0
40.4	1483.0
40.8	1282.0
41.2	349.0
41.5	199.0
42.0	163.0
42.4	152.0
42.8	153.0
43.2	147.0
43.6	150.0
44.0	167.0
44.4	267.0
44.8	3928.0
45.2	4280.0
45.5	3634.0
46.0	219.0
46.4	138.0
46.8	124.0
47.2	108.0
47.6	100.0
48.0	86.0
48.4	92.0
48.8	86.0
49.2	86.0
49.6	77.0
50.0	72.0
50.4	75.0
50.8	61.0
51.2	71.0
51.6	64.0
52.0	65.0
