# SchwingungsdauerAP1 SchwingungsdauerAP2 TgegenA TgleichA T_SA T_SgesamtA SchwingungsdauerBP1 SchwingungsdauerBP2 TgegenB TgleichB T_SB T_SgesamtB
8.740000000000000213e+00 8.599999999999999645e+00 6.759999999999999787e+00 8.699999999999999289e+00 5.669999999999999929e+00 3.096000000000000085e+01 9.560000000000000497e+00 9.529999999999999361e+00 8.679999999999999716e+00 9.529999999999999361e+00 1.996000000000000085e+01 1.102099999999999937e+02
8.470000000000000639e+00 8.580000000000000071e+00 6.440000000000000391e+00 8.500000000000000000e+00 5.549999999999999822e+00 2.955000000000000071e+01 9.550000000000000711e+00 9.599999999999999645e+00 8.759999999999999787e+00 9.429999999999999716e+00 1.994999999999999929e+01 1.102399999999999949e+02
8.779999999999999361e+00 8.599999999999999645e+00 6.580000000000000071e+00 8.720000000000000639e+00 5.610000000000000320e+00 3.021000000000000085e+01 9.429999999999999716e+00 9.470000000000000639e+00 8.519999999999999574e+00 9.470000000000000639e+00 1.950000000000000000e+01 1.028299999999999983e+02
8.910000000000000142e+00 8.800000000000000711e+00 6.700000000000000178e+00 8.720000000000000639e+00 5.580000000000000071e+00 2.948999999999999844e+01 9.400000000000000355e+00 9.599999999999999645e+00 8.529999999999999361e+00 9.599999999999999645e+00 1.960999999999999943e+01 9.940000000000000568e+01
8.730000000000000426e+00 8.730000000000000426e+00 6.750000000000000000e+00 8.750000000000000000e+00 5.519999999999999574e+00 3.021000000000000085e+01 9.460000000000000853e+00 9.630000000000000782e+00 8.599999999999999645e+00 9.460000000000000853e+00 1.939999999999999858e+01 1.009300000000000068e+02
8.779999999999999361e+00 8.800000000000000711e+00 6.660000000000000142e+00 8.580000000000000071e+00 5.690000000000000391e+00 2.976999999999999957e+01 9.359999999999999432e+00 9.599999999999999645e+00 8.550000000000000711e+00 9.400000000000000355e+00 1.985999999999999943e+01 1.007699999999999960e+02
8.669999999999999929e+00 8.640000000000000568e+00 6.549999999999999822e+00 8.599999999999999645e+00 5.410000000000000142e+00 2.964000000000000057e+01 9.589999999999999858e+00 9.560000000000000497e+00 8.640000000000000568e+00 9.380000000000000782e+00 1.916000000000000014e+01 9.676999999999999602e+01
8.689999999999999503e+00 8.730000000000000426e+00 6.700000000000000178e+00 8.580000000000000071e+00 5.580000000000000071e+00 2.966000000000000014e+01 9.500000000000000000e+00 9.599999999999999645e+00 8.720000000000000639e+00 9.460000000000000853e+00 1.950000000000000000e+01 9.676000000000000512e+01
8.839999999999999858e+00 8.689999999999999503e+00 6.530000000000000249e+00 8.599999999999999645e+00 5.669999999999999929e+00 3.026000000000000156e+01 9.439999999999999503e+00 9.669999999999999929e+00 8.609999999999999432e+00 9.609999999999999432e+00 1.975000000000000000e+01 9.864000000000000057e+01
8.750000000000000000e+00 8.640000000000000568e+00 6.860000000000000320e+00 8.580000000000000071e+00 5.500000000000000000e+00 2.980000000000000071e+01 9.609999999999999432e+00 9.500000000000000000e+00 8.689999999999999503e+00 9.320000000000000284e+00 1.992999999999999972e+01 9.684999999999999432e+01
