# widerstand t_0 U_g r_oel err q err
1.959999999999999964e+00 1.778000000000000114e+01 2.690000000000000000e+02 5.206947245311314195e-04 0.000000000000000000e+00 1.171901629614426868e-19 7.838292866929282521e-23
1.919999999999999929e+00 2.926000000000000156e+01 9.600000000000000000e+01 4.064175547961233845e-04 0.000000000000000000e+00 1.476691521960361319e-19 9.876887556718484641e-23
1.870000000000000107e+00 3.503000000000000114e+01 1.100000000000000000e+01 3.720572332892075240e-04 0.000000000000000000e+00 9.663615308265966934e-19 6.463532861922154078e-22
1.810000000000000053e+00 1.575999999999999979e+01 5.800000000000000000e+01 5.558329100320780420e-04 0.000000000000000000e+00 6.696954700888015675e-19 4.479274619610345704e-22
1.780000000000000027e+00 3.400000000000000000e+01 3.500000000000000000e+01 3.788267514219898109e-04 0.000000000000000000e+00 3.221405664530399573e-19 2.154645100210497455e-22
1.709999999999999964e+00 2.319999999999999929e+01 1.470000000000000000e+02 4.597624791152907426e-04 0.000000000000000000e+00 1.437588816241252848e-19 9.615348147974283366e-23
1.750000000000000000e+00 1.541000000000000014e+01 7.700000000000000000e+01 5.633056263685274137e-04 0.000000000000000000e+00 5.264006543167468655e-19 3.520843720675945911e-22
1.750000000000000000e+00 6.830000000000000071e+00 1.870000000000000000e+02 8.461260315320382613e-04 0.000000000000000000e+00 7.835404432800363440e-19 5.240729522266473151e-22
1.750000000000000000e+00 1.140000000000000036e+01 2.000000000000000000e+02 6.549271322962594774e-04 0.000000000000000000e+00 3.271191858263740034e-19 2.187944718314107740e-22
1.750000000000000000e+00 6.610000000000000320e+00 1.120000000000000000e+02 8.600915454779005896e-04 0.000000000000000000e+00 1.377021042139927105e-18 9.210239101526072008e-22
1.739999999999999991e+00 9.929999999999999716e+00 1.180000000000000000e+02 7.019845635778243888e-04 0.000000000000000000e+00 6.903857721196520068e-19 4.617662213521606865e-22
1.739999999999999991e+00 1.800000000000000000e+01 5.300000000000000000e+01 5.213938856613308274e-04 0.000000000000000000e+00 5.973566137725787517e-19 3.995434400314953207e-22
1.729999999999999982e+00 1.926000000000000156e+01 6.100000000000000000e+01 5.042334554688990148e-04 0.000000000000000000e+00 4.662262715874373855e-19 3.118365882093024227e-22
1.729999999999999982e+00 1.377999999999999936e+01 4.100000000000000000e+01 5.961220550866993444e-04 0.000000000000000000e+00 1.183940053255574500e-18 7.918812159479911038e-22
1.729999999999999982e+00 9.400000000000000355e+00 1.340000000000000000e+02 7.217650891529504018e-04 0.000000000000000000e+00 6.636319625230595379e-19 4.438718700154234441e-22
1.719999999999999973e+00 2.030000000000000071e+01 9.200000000000000000e+01 4.913265403847492550e-04 0.000000000000000000e+00 2.844366581825273340e-19 1.902461582597888112e-22
1.729999999999999982e+00 1.156000000000000050e+01 1.220000000000000000e+02 6.508499588472449861e-04 0.000000000000000000e+00 5.257629300209898475e-19 3.516578286042031213e-22
1.719999999999999973e+00 6.839999999999999858e+00 1.130000000000000000e+02 8.464283333319399388e-04 0.000000000000000000e+00 1.298106600785467980e-18 8.682417920007720240e-22
1.719999999999999973e+00 1.358000000000000007e+01 5.000000000000000000e+01 6.007148366011360457e-04 0.000000000000000000e+00 9.948104481156338938e-19 6.653814144773421216e-22
1.719999999999999973e+00 1.549000000000000021e+01 4.000000000000000000e+01 5.624611551906869011e-04 0.000000000000000000e+00 1.008484664825884757e-18 6.745274479491164715e-22
1.709999999999999964e+00 8.490000000000000213e+00 7.600000000000000000e+01 7.600176415325797562e-04 0.000000000000000000e+00 1.376656094709295661e-18 9.207798141662174429e-22
1.709999999999999964e+00 9.550000000000000711e+00 7.600000000000000000e+01 7.165983973963287743e-04 0.000000000000000000e+00 1.143888418009183455e-18 7.650925812258144163e-22
1.709999999999999964e+00 8.130000000000000782e+00 1.750000000000000000e+02 7.766623375728815525e-04 0.000000000000000000e+00 6.399934055896537579e-19 4.280611630829160339e-22
1.709999999999999964e+00 1.555000000000000071e+01 1.400000000000000000e+02 5.615808911501057486e-04 0.000000000000000000e+00 2.867027330734632098e-19 1.917618280229065668e-22
1.709999999999999964e+00 9.029999999999999361e+00 1.920000000000000000e+02 7.369425676890943881e-04 0.000000000000000000e+00 4.945407791731150145e-19 3.307748162338212877e-22
1.699999999999999956e+00 1.213000000000000078e+01 1.400000000000000000e+02 6.360733813496450249e-04 0.000000000000000000e+00 4.260146998261397496e-19 2.849409795558444075e-22
1.699999999999999956e+00 1.617999999999999972e+01 1.130000000000000000e+02 5.507422103271395007e-04 0.000000000000000000e+00 3.337891959749482058e-19 2.232557245209489348e-22
1.709999999999999964e+00 1.266999999999999993e+01 1.180000000000000000e+02 6.221415558189860974e-04 0.000000000000000000e+00 4.711590142668719004e-19 3.151358652801372741e-22
1.699999999999999956e+00 6.950000000000000178e+00 1.550000000000000000e+02 8.403210051747871329e-04 0.000000000000000000e+00 9.251410424384545099e-19 6.187828611719498583e-22
1.699999999999999956e+00 1.494999999999999929e+01 9.000000000000000000e+01 5.729503981156892000e-04 0.000000000000000000e+00 4.754077633940287305e-19 3.179776515815799110e-22
