#2*theta/�	R(35kV)/Imp/s

22.0	109.0
22.2	107.0
22.4	103.0
22.6	101.0
22.8	105.0
23.0	96.0
23.2	95.0
23.4	91.0
23.6	94.0
23.8	90.0
24.0	88.0
24.2	89.0
24.4	86.0
24.6	89.0
24.8	91.0
25.0	90.0
25.2	93.0
25.4	92.0
25.6	90.0
25.8	99.0
26.0	107.0
26.2	108.0
26.4	101.0
26.6	99.0
26.8	97.0
27.0	89.0
27.2	86.0
27.4	89.0
27.6	79.0
27.8	81.0
28.0	76.0
28.2	78.0
28.4	75.0
28.6	73.0
28.8	74.0
29.0	73.0
29.2	76.0
29.4	71.0
29.6	73.0
29.8	82.0
30.0	92.0
30.2	101.0
30.4	107.0
30.6	108.0
30.8	106.0
31.0	110.0
31.2	103.0
31.4	102.0
31.6	101.0
31.8	105.0
32.0	97.0
32.2	95.0
32.4	95.0
32.5	90.0
32.8	90.0
33.0	87.0
33.2	86.0
33.4	86.0
33.6	87.0
33.8	84.0
34.0	82.0
